d_pawn_rank,e_pawn_rank,black_king,side_to_move,white_win_wk_squares,legal_wk_squares,draw_wk_squares
2,4,d3,black,10,55,45
2,4,e3,black,11,55,44
2,4,f3,black,13,54,41
2,4,d4,black,8,54,46
2,4,f4,black,11,54,43
2,4,d5,black,11,54,43
2,4,e5,black,11,54,43
2,4,f5,black,13,54,41
2,5,d4,black,15,54,39
2,5,e4,black,15,54,39
2,5,f4,black,18,54,36
2,5,d5,black,14,54,40
2,5,f5,black,17,54,37
2,5,d6,black,17,54,37
2,5,e6,black,17,54,37
2,5,f6,black,19,54,35
2,6,c5,black,42,53,11
2,6,d5,black,18,54,36
2,6,e5,black,18,54,36
2,6,f5,black,21,54,33
2,6,g5,black,44,53,9
2,6,c6,black,42,53,11
2,6,d6,white,43,54,11
2,6,d6,black,18,54,36
2,6,f6,white,42,54,12
2,6,f6,black,21,54,33
2,6,g6,black,44,53,9
2,6,c7,black,42,53,11
2,6,d7,black,21,54,33
2,6,e7,white,41,54,13
2,6,e7,black,21,54,33
2,6,f7,black,23,54,31
2,6,g7,black,45,53,8
2,6,d8,black,43,56,13
2,6,e8,black,43,56,13
2,6,f8,black,45,56,11
2,7,d6,black,35,54,19
2,7,e6,black,35,54,19
2,7,f6,black,36,54,18
2,7,d7,black,35,54,19
2,7,f7,black,37,54,17
2,7,d8,black,38,57,19
2,7,e8,white,55,57,2
2,7,e8,black,37,57,20
2,7,f8,black,40,57,17
3,3,c2,black,14,54,40
3,3,d2,black,8,55,47
3,3,e2,black,8,55,47
3,3,f2,black,14,54,40
3,3,c3,black,12,54,42
3,3,f3,black,12,54,42
3,3,c4,black,13,54,41
3,3,d4,black,6,55,49
3,3,e4,black,6,55,49
3,3,f4,black,13,54,41
3,5,d4,black,10,55,45
3,5,e4,black,11,55,44
3,5,f4,black,13,54,41
3,5,d5,black,8,54,46
3,5,f5,black,11,54,43
3,5,d6,black,11,54,43
3,5,e6,black,11,54,43
3,5,f6,black,13,54,41
3,6,c5,black,38,53,15
3,6,d5,black,15,54,39
3,6,e5,black,15,54,39
3,6,f5,black,18,54,36
3,6,g5,black,40,53,13
