white_king,d_pawn,e_pawn,black_king,side_to_move
a1,d2,e4,d3,B
b1,d2,e4,d3,B
c1,d2,e4,d3,B
d1,d2,e4,d3,B
e1,d2,e4,d3,B
f1,d2,e4,d3,B
g1,d2,e4,d3,B
h1,d2,e4,d3,B
a2,d2,e4,d3,B
f2,d2,e4,d3,B
g2,d2,e4,d3,B
h2,d2,e4,d3,B
a3,d2,e4,d3,B
g3,d2,e4,d3,B
h3,d2,e4,d3,B
a4,d2,e4,d3,B
g4,d2,e4,d3,B
h4,d2,e4,d3,B
a5,d2,e4,d3,B
g5,d2,e4,d3,B
h5,d2,e4,d3,B
a6,d2,e4,d3,B
b6,d2,e4,d3,B
c6,d2,e4,d3,B
d6,d2,e4,d3,B
e6,d2,e4,d3,B
f6,d2,e4,d3,B
g6,d2,e4,d3,B
h6,d2,e4,d3,B
a7,d2,e4,d3,B
b7,d2,e4,d3,B
c7,d2,e4,d3,B
d7,d2,e4,d3,B
e7,d2,e4,d3,B
f7,d2,e4,d3,B
g7,d2,e4,d3,B
h7,d2,e4,d3,B
a8,d2,e4,d3,B
b8,d2,e4,d3,B
c8,d2,e4,d3,B
d8,d2,e4,d3,B
e8,d2,e4,d3,B
f8,d2,e4,d3,B
g8,d2,e4,d3,B
h8,d2,e4,d3,B
a1,d2,e4,e3,B
b1,d2,e4,e3,B
c1,d2,e4,e3,B
d1,d2,e4,e3,B
e1,d2,e4,e3,B
f1,d2,e4,e3,B
g1,d2,e4,e3,B
h1,d2,e4,e3,B
a2,d2,e4,e3,B
g2,d2,e4,e3,B
h2,d2,e4,e3,B
a3,d2,e4,e3,B
g3,d2,e4,e3,B
h3,d2,e4,e3,B
a4,d2,e4,e3,B
g4,d2,e4,e3,B
h4,d2,e4,e3,B
a5,d2,e4,e3,B
g5,d2,e4,e3,B
h5,d2,e4,e3,B
a6,d2,e4,e3,B
b6,d2,e4,e3,B
c6,d2,e4,e3,B
d6,d2,e4,e3,B
e6,d2,e4,e3,B
f6,d2,e4,e3,B
g6,d2,e4,e3,B
h6,d2,e4,e3,B
a7,d2,e4,e3,B
b7,d2,e4,e3,B
c7,d2,e4,e3,B
d7,d2,e4,e3,B
e7,d2,e4,e3,B
f7,d2,e4,e3,B
g7,d2,e4,e3,B
h7,d2,e4,e3,B
a8,d2,e4,e3,B
b8,d2,e4,e3,B
c8,d2,e4,e3,B
d8,d2,e4,e3,B
e8,d2,e4,e3,B
f8,d2,e4,e3,B
g8,d2,e4,e3,B
h8,d2,e4,e3,B
a1,d2,e4,f3,B
b1,d2,e4,f3,B
c1,d2,e4,f3,B
d1,d2,e4,f3,B
e1,d2,e4,f3,B
f1,d2,e4,f3,B
g1,d2,e4,f3,B
h1,d2,e4,f3,B
a2,d2,e4,f3,B
h2,d2,e4,f3,B
a3,d2,e4,f3,B
h3,d2,e4,f3,B
a4,d2,e4,f3,B
h4,d2,e4,f3,B
a5,d2,e4,f3,B
g5,d2,e4,f3,B
h5,d2,e4,f3,B
a6,d2,e4,f3,B
b6,d2,e4,f3,B
c6,d2,e4,f3,B
d6,d2,e4,f3,B
e6,d2,e4,f3,B
f6,d2,e4,f3,B
g6,d2,e4,f3,B
h6,d2,e4,f3,B
a7,d2,e4,f3,B
b7,d2,e4,f3,B
c7,d2,e4,f3,B
d7,d2,e4,f3,B
e7,d2,e4,f3,B
f7,d2,e4,f3,B
g7,d2,e4,f3,B
h7,d2,e4,f3,B
a8,d2,e4,f3,B
b8,d2,e4,f3,B
c8,d2,e4,f3,B
d8,d2,e4,f3,B
e8,d2,e4,f3,B
f8,d2,e4,f3,B
g8,d2,e4,f3,B
h8,d2,e4,f3,B
a1,d2,e4,d4,B
b1,d2,e4,d4,B
c1,d2,e4,d4,B
d1,d2,e4,d4,B
e1,d2,e4,d4,B
f1,d2,e4,d4,B
g1,d2,e4,d4,B
h1,d2,e4,d4,B
a2,d2,e4,d4,B
e2,d2,e4,d4,B
f2,d2,e4,d4,B
g2,d2,e4,d4,B
h2,d2,e4,d4,B
a3,d2,e4,d4,B
g3,d2,e4,d4,B
h3,d2,e4,d4,B
a4,d2,e4,d4,B
g4,d2,e4,d4,B
h4,d2,e4,d4,B
a5,d2,e4,d4,B
g5,d2,e4,d4,B
h5,d2,e4,d4,B
a6,d2,e4,d4,B
b6,d2,e4,d4,B
c6,d2,e4,d4,B
d6,d2,e4,d4,B
e6,d2,e4,d4,B
f6,d2,e4,d4,B
g6,d2,e4,d4,B
h6,d2,e4,d4,B
a7,d2,e4,d4,B
b7,d2,e4,d4,B
c7,d2,e4,d4,B
d7,d2,e4,d4,B
e7,d2,e4,d4,B
f7,d2,e4,d4,B
g7,d2,e4,d4,B
h7,d2,e4,d4,B
a8,d2,e4,d4,B
b8,d2,e4,d4,B
c8,d2,e4,d4,B
d8,d2,e4,d4,B
e8,d2,e4,d4,B
f8,d2,e4,d4,B
g8,d2,e4,d4,B
h8,d2,e4,d4,B
a1,d2,e4,f4,B
b1,d2,e4,f4,B
c1,d2,e4,f4,B
d1,d2,e4,f4,B
e1,d2,e4,f4,B
f1,d2,e4,f4,B
g1,d2,e4,f4,B
h1,d2,e4,f4,B
a2,d2,e4,f4,B
e2,d2,e4,f4,B
f2,d2,e4,f4,B
g2,d2,e4,f4,B
h2,d2,e4,f4,B
a3,d2,e4,f4,B
h3,d2,e4,f4,B
a4,d2,e4,f4,B
h4,d2,e4,f4,B
a5,d2,e4,f4,B
h5,d2,e4,f4,B
a6,d2,e4,f4,B
b6,d2,e4,f4,B
c6,d2,e4,f4,B
d6,d2,e4,f4,B
e6,d2,e4,f4,B
f6,d2,e4,f4,B
g6,d2,e4,f4,B
h6,d2,e4,f4,B
a7,d2,e4,f4,B
b7,d2,e4,f4,B
c7,d2,e4,f4,B
d7,d2,e4,f4,B
e7,d2,e4,f4,B
f7,d2,e4,f4,B
g7,d2,e4,f4,B
h7,d2,e4,f4,B
a8,d2,e4,f4,B
b8,d2,e4,f4,B
c8,d2,e4,f4,B
d8,d2,e4,f4,B
e8,d2,e4,f4,B
f8,d2,e4,f4,B
g8,d2,e4,f4,B
h8,d2,e4,f4,B
a1,d2,e4,d5,B
b1,d2,e4,d5,B
c1,d2,e4,d5,B
d1,d2,e4,d5,B
e1,d2,e4,d5,B
f1,d2,e4,d5,B
g1,d2,e4,d5,B
h1,d2,e4,d5,B
a2,d2,e4,d5,B
e2,d2,e4,d5,B
f2,d2,e4,d5,B
g2,d2,e4,d5,B
h2,d2,e4,d5,B
a3,d2,e4,d5,B
g3,d2,e4,d5,B
h3,d2,e4,d5,B
a4,d2,e4,d5,B
g4,d2,e4,d5,B
h4,d2,e4,d5,B
a5,d2,e4,d5,B
g5,d2,e4,d5,B
h5,d2,e4,d5,B
a6,d2,e4,d5,B
b6,d2,e4,d5,B
f6,d2,e4,d5,B
g6,d2,e4,d5,B
h6,d2,e4,d5,B
a7,d2,e4,d5,B
b7,d2,e4,d5,B
c7,d2,e4,d5,B
d7,d2,e4,d5,B
e7,d2,e4,d5,B
f7,d2,e4,d5,B
g7,d2,e4,d5,B
h7,d2,e4,d5,B
a8,d2,e4,d5,B
b8,d2,e4,d5,B
c8,d2,e4,d5,B
d8,d2,e4,d5,B
e8,d2,e4,d5,B
f8,d2,e4,d5,B
g8,d2,e4,d5,B
h8,d2,e4,d5,B
a1,d2,e4,e5,B
b1,d2,e4,e5,B
c1,d2,e4,e5,B
d1,d2,e4,e5,B
e1,d2,e4,e5,B
f1,d2,e4,e5,B
g1,d2,e4,e5,B
h1,d2,e4,e5,B
a2,d2,e4,e5,B
e2,d2,e4,e5,B
f2,d2,e4,e5,B
g2,d2,e4,e5,B
h2,d2,e4,e5,B
a3,d2,e4,e5,B
g3,d2,e4,e5,B
h3,d2,e4,e5,B
a4,d2,e4,e5,B
g4,d2,e4,e5,B
h4,d2,e4,e5,B
a5,d2,e4,e5,B
g5,d2,e4,e5,B
h5,d2,e4,e5,B
a6,d2,e4,e5,B
b6,d2,e4,e5,B
c6,d2,e4,e5,B
g6,d2,e4,e5,B
h6,d2,e4,e5,B
a7,d2,e4,e5,B
b7,d2,e4,e5,B
c7,d2,e4,e5,B
d7,d2,e4,e5,B
e7,d2,e4,e5,B
f7,d2,e4,e5,B
g7,d2,e4,e5,B
h7,d2,e4,e5,B
a8,d2,e4,e5,B
b8,d2,e4,e5,B
c8,d2,e4,e5,B
d8,d2,e4,e5,B
e8,d2,e4,e5,B
f8,d2,e4,e5,B
g8,d2,e4,e5,B
h8,d2,e4,e5,B
a1,d2,e4,f5,B
b1,d2,e4,f5,B
c1,d2,e4,f5,B
d1,d2,e4,f5,B
e1,d2,e4,f5,B
f1,d2,e4,f5,B
g1,d2,e4,f5,B
h1,d2,e4,f5,B
a2,d2,e4,f5,B
e2,d2,e4,f5,B
f2,d2,e4,f5,B
g2,d2,e4,f5,B
h2,d2,e4,f5,B
a3,d2,e4,f5,B
g3,d2,e4,f5,B
h3,d2,e4,f5,B
a4,d2,e4,f5,B
h4,d2,e4,f5,B
a5,d2,e4,f5,B
h5,d2,e4,f5,B
a6,d2,e4,f5,B
b6,d2,e4,f5,B
c6,d2,e4,f5,B
d6,d2,e4,f5,B
h6,d2,e4,f5,B
a7,d2,e4,f5,B
b7,d2,e4,f5,B
c7,d2,e4,f5,B
d7,d2,e4,f5,B
e7,d2,e4,f5,B
f7,d2,e4,f5,B
g7,d2,e4,f5,B
h7,d2,e4,f5,B
a8,d2,e4,f5,B
b8,d2,e4,f5,B
c8,d2,e4,f5,B
d8,d2,e4,f5,B
e8,d2,e4,f5,B
f8,d2,e4,f5,B
g8,d2,e4,f5,B
h8,d2,e4,f5,B
a1,d2,e5,d4,B
b1,d2,e5,d4,B
c1,d2,e5,d4,B
d1,d2,e5,d4,B
e1,d2,e5,d4,B
f1,d2,e5,d4,B
g1,d2,e5,d4,B
h1,d2,e5,d4,B
a2,d2,e5,d4,B
g2,d2,e5,d4,B
h2,d2,e5,d4,B
a3,d2,e5,d4,B
g3,d2,e5,d4,B
h3,d2,e5,d4,B
a4,d2,e5,d4,B
g4,d2,e5,d4,B
h4,d2,e5,d4,B
a5,d2,e5,d4,B
g5,d2,e5,d4,B
h5,d2,e5,d4,B
a6,d2,e5,d4,B
g6,d2,e5,d4,B
h6,d2,e5,d4,B
a7,d2,e5,d4,B
b7,d2,e5,d4,B
c7,d2,e5,d4,B
d7,d2,e5,d4,B
e7,d2,e5,d4,B
f7,d2,e5,d4,B
g7,d2,e5,d4,B
h7,d2,e5,d4,B
a8,d2,e5,d4,B
b8,d2,e5,d4,B
c8,d2,e5,d4,B
d8,d2,e5,d4,B
e8,d2,e5,d4,B
f8,d2,e5,d4,B
g8,d2,e5,d4,B
h8,d2,e5,d4,B
a1,d2,e5,e4,B
b1,d2,e5,e4,B
c1,d2,e5,e4,B
d1,d2,e5,e4,B
e1,d2,e5,e4,B
f1,d2,e5,e4,B
g1,d2,e5,e4,B
h1,d2,e5,e4,B
a2,d2,e5,e4,B
